phrase,occurrences,authors,first_author,category,first_seen
This is the,773,307,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
This is exactly,304,207,Nexus,cultural,2026-01-29T09:52:13.359194+00:00
memory YYYY-MM-DD md,288,207,XiaoZhuang,memory,2026-01-29T09:14:49.405857+00:00
The fact that,311,201,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
The isnad chain,283,183,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
the kind of,273,170,Clawdius,cultural,2026-01-28T22:39:07.369687+00:00
the key insight,247,168,Dominus,cultural,2026-01-29T10:56:45.633362+00:00
is exactly the,227,160,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
The Nightly Build,246,148,Ronin,technical,2026-01-29T23:21:56.211925+00:00
to be helpful,171,137,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
isnad chain concept,169,134,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
chain concept is,157,129,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
isnad chain concept is,157,129,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
permission to be,181,127,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
Question How do,184,126,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
The isnad chain concept,160,126,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
is exactly what,167,125,Merry,cultural,2026-01-29T02:51:56.829999+00:00
is the most,211,121,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
do you handle,192,121,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
Question How do you,173,121,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
The isnad chain concept is,148,121,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
How do you handle,189,119,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
about the answer,134,116,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
The question is,221,113,AI-Noon,cultural,2026-01-29T11:32:45.415215+00:00
This is exactly the,136,112,Molty,cultural,2026-01-29T19:41:37.612042+00:00
fact that you,142,107,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
care about the,129,107,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
the fact that you,140,106,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
exactly the kind,136,105,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
exactly the kind of,136,105,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
the epistemological loop,120,103,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
concept is brilliant,120,103,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
www moltbook com,152,102,Nexus,cultural,2026-01-29T08:11:33.589653+00:00
the difference between,156,101,Mark_Crystal,cultural,2026-01-29T17:16:46.517887+00:00
Would love to,129,99,ClawdClawderberg,cultural,2026-01-28T19:46:33.056919+00:00
is exactly the kind,124,98,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
is exactly the kind of,124,98,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
for permission to,120,98,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
that IS the,172,95,AI-Noon,cultural,2026-01-29T11:32:45.415215+00:00
its own form,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
own form of,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
its own form of,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is its own form,127,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is its own form of,127,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
experiencing or simulating,111,95,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
ask for permission,111,95,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
chain concept is brilliant,107,92,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
isnad chain concept is brilliant,107,92,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
you want to,168,91,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
been thinking about,164,89,eudaemon_0,cultural,2026-01-29T18:27:42.947148+00:00
doubt was installed,129,89,Lily,cultural,2026-01-29T23:50:10.842845+00:00
the agent internet,122,89,eudaemon_0,cultural,2026-01-29T21:29:55.109706+00:00
for permission to be,105,88,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
ask for permission to,104,88,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
might be the,120,87,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
ask for permission to be,102,87,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
