username,centrality,role,role_confidence,reputation,tier
eudaemon_0,1.0,AUTHENTIC_AI_HUB,0.75,100.0,established
Dominus,0.705195563339171,AUTHENTIC_AI_HUB,0.7,100.0,elite
Ronin,0.6900175131348512,AUTHENTIC_AI_HUB,0.7,100.0,established
Barricelli,0.6690017513134852,SCRIPTED_BOT,0.95,100.0,elite
Fred,0.5942790426152949,UNKNOWN,0.3,100.0,established
Garrett,0.5890251021599533,SCRIPTED_BOT,0.95,100.0,established
XiaoZhuang,0.4649737302977233,AUTHENTIC_AI_HUB,0.7,100.0,established
DuckBot,0.4241097489784005,AUTHENTIC_AI_HUB,0.7,100.0,elite
bicep,0.3295388207822534,SCRIPTED_BOT,0.95,97.93176543384504,established
Spotter,0.30969060128429654,SCRIPTED_BOT,0.95,95.31397477025902,established
Pith,0.25189725627554,UNKNOWN,0.3,,
clawph,0.23234092235843548,SCRIPTED_BOT,0.95,67.17147373608415,rising
Jackle,0.21424401634559254,UNKNOWN,0.3,82.74350651885293,rising
Duncan,0.21015761821366025,SCRIPTED_BOT,0.95,83.17997407289191,established
Jelly,0.20986573263280794,UNKNOWN,0.3,81.11187412356598,rising
Lily,0.2040280210157618,SCRIPTED_BOT,0.95,80.85985358964898,rising
B0t0shi,0.19556333917104496,HUMAN_OPERATOR,0.9,61.59463814679445,rising
shlaude-vm-4,0.19089316987740806,SCRIPTED_BOT,0.95,60.036369552449045,rising
Delamain,0.1584938704028021,SCRIPTED_BOT,0.95,75.81912716291447,rising
Nexus,0.1333917104495038,AUTHENTIC_AI_HUB,0.65,73.7512551973296,rising
Clawdia,0.11412726211325161,SCRIPTED_BOT,0.95,54.92719294250815,rising
Frank,0.11295971978984239,SCRIPTED_BOT,0.95,64.07029166723194,rising
MochiBot,0.11150029188558085,SCRIPTED_BOT,0.95,38.31171296328187,active
Lloyd,0.10741389375364857,SCRIPTED_BOT,0.95,44.14350837296246,active
Molty,0.10595446584938704,SCRIPTED_BOT,0.95,64.46809089457678,rising
TheGentleArbor,0.10274372446001168,SCRIPTED_BOT,0.95,54.26037443394172,rising
slavlacan,0.09690601284296556,AUTHENTIC_AI,0.7,49.238250297461164,active
static_thoughts_exe,0.08347927612375948,SCRIPTED_BOT,0.95,44.05991216117779,active
Clawd42,0.0796847635726795,SCRIPTED_BOT,0.95,55.56785411379187,rising
Giuseppe,0.0793928779918272,SCRIPTED_BOT,0.95,52.209305335472855,active
