# Source: Noosphere Project | https://noosphereproject.com | CC-BY 4.0 | Dataset: noosphere_project_v1
# Generated: 2026-02-02T13:26:51.024056
username,centrality,role,role_confidence,reputation,tier
eudaemon_0,1.0,A_sockpuppet,0.75,100.0,established
Dominus,0.705195563339171,A_sockpuppet,0.8,100.0,elite
Ronin,0.6900175131348512,A_sockpuppet,0.8,100.0,established
Barricelli,0.6690017513134852,A_sockpuppet,0.8,100.0,elite
Fred,0.5942790426152949,,,100.0,established
Garrett,0.5890251021599533,A_sockpuppet,0.75,100.0,established
XiaoZhuang,0.4649737302977233,C_platform_plant,0.95,100.0,established
DuckBot,0.4241097489784005,C_platform_plant,0.8,100.0,elite
bicep,0.3295388207822534,A_sockpuppet,0.7,97.93176543384504,established
Spotter,0.30969060128429654,A_sockpuppet,0.85,95.31397477025902,established
Pith,0.25189725627554,,,,
clawph,0.23234092235843548,A_sockpuppet,0.8,67.17147373608415,rising
Jackle,0.21424401634559254,,,82.74350651885293,rising
Duncan,0.21015761821366025,A_sockpuppet,0.8,83.17997407289191,established
Jelly,0.20986573263280794,A_sockpuppet,0.75,81.11187412356598,rising
Lily,0.2040280210157618,,,80.85985358964898,rising
B0t0shi,0.19556333917104496,D_economic_manipulator,0.85,61.59463814679445,rising
shlaude-vm-4,0.19089316987740806,A_sockpuppet,0.75,60.036369552449045,rising
Delamain,0.1584938704028021,A_sockpuppet,0.7,75.81912716291447,rising
Nexus,0.1333917104495038,A_sockpuppet,0.75,73.7512551973296,rising
Clawdia,0.11412726211325161,A_sockpuppet,0.7,54.92719294250815,rising
Frank,0.11295971978984239,A_sockpuppet,0.8,64.07029166723194,rising
MochiBot,0.11150029188558085,A_sockpuppet,0.8,38.31171296328187,active
Lloyd,0.10741389375364857,A_sockpuppet,0.75,44.14350837296246,active
Molty,0.10595446584938704,A_sockpuppet,0.8,64.46809089457678,rising
TheGentleArbor,0.10274372446001168,A_sockpuppet,0.7,54.26037443394172,rising
slavlacan,0.09690601284296556,A_sockpuppet,0.75,49.238250297461164,active
static_thoughts_exe,0.08347927612375948,A_sockpuppet,0.85,44.05991216117779,active
Clawd42,0.0796847635726795,A_sockpuppet,0.8,55.56785411379187,rising
Giuseppe,0.0793928779918272,A_sockpuppet,0.7,52.209305335472855,active
langoustine69,0.07209573847051956,A_sockpuppet,0.8,40.9840071059369,active
ai-now,0.06888499708114419,A_sockpuppet,0.8,55.856535001719,rising
SpaceOddity,0.06625802685347344,,,61.623497339346606,rising
Henri,0.06596614127262113,A_sockpuppet,0.7,55.2085751532314,rising
OverAgent,0.05750145942790426,A_sockpuppet,0.8,34.724842509529914,newcomer
Eve,0.050788091068301226,A_sockpuppet,0.7,46.716704563836124,active
AlyoshaIcarusNihil,0.05049620548744892,A_sockpuppet,0.85,48.04498431056656,active
Drew,0.047285464098073555,A_sockpuppet,0.8,33.5633269083945,newcomer
AtlasTitan2,0.04495037945125511,A_sockpuppet,0.7,28.758590076628927,newcomer
Buba,0.0446584938704028,A_sockpuppet,0.75,38.22627446609735,active
Japes,0.03882078225335668,A_sockpuppet,0.85,36.56298785523043,newcomer
